圖片,車名,價格,連結,清洗後價格
https://p1.8891.com.tw/2025/12/06/17649883501798661827_300_225.jpg,Porsche 718 Boxster 2021款 2.0T 2.0L 新車選到369,369.0,https://auto.8891.com.tw/usedauto-infos-4519372.html?id=4519372&sale_code=3010013&display__sale_code=3010013&flow_id=7f2e73f2-4d60-48a4-a504-b7016de15b5a,369.0
https://p1.8891.com.tw/2025/10/11/1760174432711195_300_225.jpg,Porsche Macan 2015款 2.0T 2.0L 【杰運台北】駕駛座電動調整 換檔撥片 後,76.9,"https://auto.8891.com.tw/usedauto-infos-4461469.html?id=4461469&sale_code=3012001,9005011&display__sale_code=3012001&flow_id=ef84dc95-a523-475d-bec1-168015c2dce9",76.9
https://p2.8891.com.tw/2024/09/20/1/1726828572071596_300_225.jpg,Porsche Cayenne 2018款 白金版 3.6L 總代理 白金版 原版件 原漆 無事故 ,118.0,"https://auto.8891.com.tw/usedauto-infos-4346146.html?id=4346146&sale_code=3012001,9005012&display__sale_code=3012001&flow_id=28cb99ef-9ea1-477f-b818-81db39207154",118.0
https://p2.8891.com.tw/2025/10/06/1759734411811680_300_225.jpg,Porsche 911 GT3 2015款 3.8 3.8L 跑車計時套件、倒車顯影系統、跑車尾翼 ,398.8,"https://auto.8891.com.tw/usedauto-infos-4455815.html?id=4455815&sale_code=3012001,9005012&display__sale_code=3012001&flow_id=fef29248-b421-4326-b779-2bd18250cac5",398.8
https://p2.8891.com.tw/2025/12/10/17653508212681196886_300_225.jpg,Porsche Macan 2021款 2.0 2.0L PDLS｜動力輔助系統｜三區恆溫空調 台北,178.0,"https://auto.8891.com.tw/usedauto-infos-4524094.html?id=4524094&sale_code=3012001,9005012&display__sale_code=3012001&flow_id=e24e4c4b-ec96-4d13-a978-a657a7640db3",178.0
https://p2.8891.com.tw/2025/12/11/17654354184545328298_300_225.jpg,Porsche Cayenne 2018款 3.0T 3.0L 2019年式，自售總代理原廠保養 台,160.0,"https://auto.8891.com.tw/usedauto-infos-4525242.html?id=4525242&sale_code=3014001,9005012&display__sale_code=3014001&flow_id=71e5d168-34a7-473c-8dc5-980f9a7e57fe",160.0
https://p2.8891.com.tw/2025/11/27/17642126896777297578_300_225.jpg,Porsche Macan 2016款 GTS 3.0L 杰運濱江 2016 Porsche Mac,109.9,"https://auto.8891.com.tw/usedauto-infos-4509678.html?id=4509678&sale_code=3012001,9005012&display__sale_code=3012001&flow_id=a7c48cea-eb1d-4ca3-ac77-7315c0682823",109.9
https://p1.8891.com.tw/2025/11/13/17629968919135031429_300_225.jpg,Porsche 718 Cayman 2016款 2.0T 2.0L 方向盤換檔撥片、ESC動態穩定,238.0,"https://auto.8891.com.tw/usedauto-infos-4494850.html?id=4494850&sale_code=3012001,9005012&display__sale_code=3012001&flow_id=d652bc9b-e39a-48f1-9ab4-f33a0e1c0894",238.0
https://p2.8891.com.tw/2025/12/08/17651774345629995784_300_225.jpg,Porsche 718 Boxster 2020款 2.0T 原版件 2.0L 【元禾國際車業】71,208.8,"https://auto.8891.com.tw/usedauto-infos-4520156.html?id=4520156&sale_code=3012004,9005011&display__sale_code=3012004&flow_id=b1c2cd4a-b85b-44c6-96f3-ef970b5cfa38",208.8
https://p2.8891.com.tw/2025/12/16/17658475319600009222_300_225.jpg,Porsche Cayenne 2020款 3.0T 3.0L 自售cayenne 低哩程 原廠保固,175.0,https://auto.8891.com.tw/usedauto-infos-4529621.html?id=4529621&sale_code=3014001&display__sale_code=3014001&flow_id=4ff3619d-52af-49ed-837c-50fbacf18d6c,175.0
