圖片,車名,價格,連結,清洗後價格
https://p2.8891.com.tw/2025/12/16/17658820160004706538_300_225.jpg,Porsche Cayenne 2015款 S 3.6L FB:華納汽車 Cayenne 全景 BO,68.0,https://auto.8891.com.tw/usedauto-infos-4530642.html?id=4530642&sale_code=&display__sale_code=&flow_id=4b813d7f-ed85-47ff-b1cb-0d09b3a72f15,68.0
https://p2.8891.com.tw/2025/12/16/17658517495449306352_300_225.jpg,Porsche Cayenne 2018款 Platinum Edition 3.0L 柴油 總代理,92.8,https://auto.8891.com.tw/usedauto-infos-4529696.html?id=4529696&sale_code=9005011&display__sale_code=9005011&flow_id=e8b819f1-699e-40af-870c-c9d23580c3e8,92.8
https://p1.8891.com.tw/2025/10/30/1761787866912639_300_225.jpg,Porsche Taycan 2024款 RWD 純電 杰運濱江 Porsche Taycan 總代,276.9,https://auto.8891.com.tw/usedauto-infos-4511965.html?id=4511965&sale_code=9005012&display__sale_code=9005012&flow_id=d1dc3d05-156f-407a-aba4-11d9a0e08d7e,276.9
https://p2.8891.com.tw/2025/09/30/1759204598940422_300_225.jpg,Porsche Panamera Sport Turismo 2022款 4 Sport Turis,398.0,https://auto.8891.com.tw/usedauto-infos-4515148.html?id=4515148&sale_code=9005011&display__sale_code=9005011&flow_id=bfc1f8b7-bee4-4efc-9dbb-0abfe5b95c1d,398.0
https://p1.8891.com.tw/2025/10/28/1761645015047393_300_225.jpg,Porsche Taycan 2022款 RWD 純電 路易汽車 實車實價 SAVE認證 選配ACC,228.0,https://auto.8891.com.tw/usedauto-infos-4478594.html?id=4478594&sale_code=9005011&display__sale_code=9005011&flow_id=9575473c-99ab-42f2-8754-e2364f1eec44,228.0
https://p2.8891.com.tw/2025/11/11/17628542020514827856_300_225.jpg,Porsche Panamera 2021款 2.9T V6 2.9L Panamera 總代理 跑,315.0,https://auto.8891.com.tw/usedauto-infos-4530622.html?id=4530622&sale_code=&display__sale_code=&flow_id=d840b3a0-99c3-4662-96d1-81c4502a3af7,315.0
https://p2.8891.com.tw/2023/10/31/1698743226043482_300_225.jpg,Porsche 911 Carrera 2012款 S Coupe 3.8L 12 911 Carr,268.0,https://auto.8891.com.tw/usedauto-infos-4428183.html?id=4428183&sale_code=9005011&display__sale_code=9005011&flow_id=72f3b9c7-1478-4570-8135-0ac42f3fc6dc,268.0
https://p1.8891.com.tw/2025/05/02/1746152768949423_300_225.jpg,Porsche 718 Cayman 2020款 S 2.5L 20 718 Cayman S / ,268.0,https://auto.8891.com.tw/usedauto-infos-4511041.html?id=4511041&sale_code=9005011&display__sale_code=9005011&flow_id=b0ba111d-745d-466f-8666-2f523eaa8c10,268.0
https://p1.8891.com.tw/2025/11/14/17631080346282104031_300_225.jpg,Porsche Macan 2022款 2.0 2.0L 實車實價登載！總代理！ACC跟車、盲點、環,185.0,https://auto.8891.com.tw/usedauto-infos-4507143.html?id=4507143&sale_code=9005012&display__sale_code=9005012&flow_id=bf660ef8-2103-4d9b-98c7-8b82b5c19d57,185.0
https://p1.8891.com.tw/2025/12/08/17651801907441723833_300_225.jpg,Porsche 911 GT3 2024款 4.0 4.0L 實車實價登載！選配231,231.0,https://auto.8891.com.tw/usedauto-infos-4521629.html?id=4521629&sale_code=9005012&display__sale_code=9005012&flow_id=42667314-5138-4b18-9c95-e2734e654aa1,231.0
